card_id	level_requirements	quest	hitpoints	unique_drops	notes	slayer_requirement	attack_styles	equipment_slot	weapon_type	attack_speed	max_hit	aggression	hazards
item.collection_bag.10521													
item.collection_log.22711													
item.collector_icon.10557													
item.colossal_blade.27021								2H	2H Sword	6			
item.colossal_pouch.26784													
item.colossal_wyrm_teleport_scroll.30040													
item.colourful_cape.29491								Cape					
item.colourful_crown_shirt.29509								Body					
item.colourful_jumper.28118								Body					
item.colourful_scarf.28108								Neck					
item.combat_bracelet.11126								Hands					
item.combat_lamp.10586													
item.combat_potion_set.13064													
item.common_kebbit_fur.10121													
item.common_tench.22829													
item.comp_ogre_bow.4827	30 Ranged							2H	Bow	5			
item.compost.6032													
item.condensed_gold.26266													
item.conductor_mould.4200													
item.consecration_seed.4205													
item.construct_cape.9789	99 Construction							Cape					
item.construct_hood.9791	99 Construction							Head					
item.cooked_barb_tailed_kebbit.29131													
item.cooked_bream.29217													
item.cooked_chompy.2878													
item.cooked_dashing_kebbit.29134													
item.cooked_fishcake.7530													
item.cooked_giant_crab_meat.7521													
item.cooked_graahk.29149													
item.cooked_jubbly.7568													
item.cooked_karambwan.3144													
item.cooked_kyatt.29152													
item.cooked_larupia.29146													
item.cooked_moonlight_antelope.29143													
item.cooked_moss_lizard.29077													
item.cooked_mystery_meat.24785													
item.cooked_oomlie_wrap.2343													
item.cooked_pyre_fox.29137													
item.cooked_rabbit.3228													
item.cooked_slimy_eel.3381													
item.cooked_sunlight_antelope.29140													
item.cooked_sweetcorn.5988													
item.cooked_wild_kebbit.29128													
item.cooking_apple.1955													
item.cooking_cape.9801	99 Cooking							Cape					
item.cooking_gauntlets.775								Hands					
item.cooking_hood.9803	99 Cooking							Head					
item.cormorant_s_glove.22816	35 Hunter, 43 Fishing							Weapon	Unarmed	4			
item.cornflour.7463													
item.cornflour_mixture.7470													
item.corpse_of_woman.4488													
item.corrupted_helm.20838								Head					
item.corrupted_kiteshield.20846								Shield					
item.corrupted_morrigan_s_coif_bh.27847								Head					
item.corrupted_morrigan_s_leather_body_bh.27848								Body					
item.corrupted_morrigan_s_leather_chaps_bh.27849								Legs					
item.corrupted_platebody.20840								Body					
item.corrupted_platelegs.20842								Legs					
item.corrupted_plateskirt.20844								Legs					
item.corrupted_statius_s_full_helm_bh.27844								Head					
item.corrupted_statius_s_platebody_bh.27845								Body					
item.corrupted_statius_s_platelegs_bh.27846								Legs					
item.corrupted_vesta_s_chainbody_bh.27842								Body					
item.corrupted_vesta_s_plateskirt_bh.27843								Legs					
item.corrupted_zuriel_s_hood_bh.27850								Head					
item.corrupted_zuriel_s_robe_bottom_bh.27852								Legs					
item.corrupted_zuriel_s_robe_top_bh.27851								Body					
item.cosmic_talisman.1454													
item.cosmic_tiara.5539								Head					
item.costume_needle.29920													
item.cowbells.10593													
item.cowhide.1739													
item.crab_claw.7537								Hands					
item.crab_helmet.7539								Head					
item.crabclaw_hook.8929								Hands					
item.crafting_cape.9780	99 Crafting							Cape					
item.crafting_hood.9782	99 Crafting							Head					
item.crate_with_zanik.8871													
item.craw_s_bow.22550	60 Ranged							2H	Bow	4			
item.craw_s_bow_u.22547	60 Ranged							2H	Bow	4			
item.cream_boots.632								Feet					
item.cream_hat.662								Head					
item.cream_robe_bottoms.652								Legs					
item.cream_robe_top.642								Body					
item.crier_bell.20243								Weapon	Blunt	4			
item.crier_coat.20240								Body					
item.crier_hat.12319								Head					
item.criminal_s_thread.1808													
item.crone_made_amulet.10500								Neck					
item.crossbow.837	1 Ranged							Weapon	Crossbow	6			
item.crossbow_string.9438													
item.crude_chair.8496													
item.crunchy_tray.2165													
item.crushed_nest.6693													
item.crushed_superior_dragon_bones.21975													
item.crystal_armour_seed.23956													
item.crystal_axe.23673	70 Attack, 50 Agility, 71 Woodcutting							Weapon	Axe	5			
item.crystal_ball.8351													
item.crystal_body.23975	70 Defence							Body					
item.crystal_bow.23983	70 Ranged, 50 Agility							2H	Bow	5			
item.crystal_chime.28577													
item.crystal_chime_seed.28575													
item.crystal_crown.23911								Head					
item.crystal_felling_axe.28220								2H	Axe	7			
item.crystal_grail.24000								Weapon	Unarmed	4			
item.crystal_halberd.23987	70 Attack, 35 Strength, 50 Agility							2H	Polearm	7			
item.crystal_harpoon.23762	70 Attack, 50 Agility, 71 Fishing							Weapon	Stab Sword	5			
item.crystal_helm.23971	70 Defence							Head					
item.crystal_key.989													
item.crystal_legs.23979	70 Defence							Legs					
item.crystal_of_power.8353													
item.crystal_paddlefish.25960													
item.crystal_pendant.3208								Neck					
item.crystal_pickaxe.23680	70 Attack, 50 Agility, 71 Mining							Weapon	Pickaxe	5			
item.crystal_saw.9625													
item.crystal_saw_seed.9626													
item.crystal_seed.23808													
item.crystal_seedling.23655													
item.crystal_seedling_w.23657													
item.crystal_shield.23991	70 Defence, 50 Agility							Shield					
item.crystal_teleport_seed.6103													
item.crystal_tool_seed.23953													
item.crystal_weapon_seed.4207													
item.crystallised_harpoonfish.25566													
item.cup_of_hot_water.4460													
item.cup_of_tea.712													
item.cup_of_water.4458													
item.cupric_ore_powder.5584													
item.cured_yak_hide.10820													
item.curry.2011													
item.curry_leaf.5970													
item.curry_sapling.5499													
item.curry_seedling.5483													
item.curry_seedling_w.5491													
item.curry_tree_seed.5286													
item.cursed_amulet_of_magic.29486								Neck					
item.cursed_goblin_bow.11708								2H	Bow	6			
item.cursed_goblin_hammer.11707								Weapon	Blunt	4			
item.cursed_goblin_staff.11709								Weapon	Staff	4			
item.curved_bone.10977													
item.cutthroat_flag.8966								Weapon	Banner	4			
item.cyclops_head.19915								Head					
item.daeyalt_essence.24704													
item.daeyalt_ore.9632													
item.dagannoth_bones.6729													
item.dagannoth_hide.6155													
item.dagannoth_king_bonemeal.6728													
item.dagon_hai_hat.24288	40 Defence, 70 Magic							Head					
item.dagon_hai_robe_bottom.24294	40 Defence, 70 Magic							Legs					
item.dagon_hai_robe_top.24291	40 Defence, 70 Magic							Body					
item.dagon_hai_robes_set.24333													
item.damaged_book.3839								Shield					
item.damaged_monkey_tail.19665													
item.damp_planks.11031													
item.damp_tinderbox.4073													
item.dareeyak_teleport.12777													
item.dark_bow.11235	60 Ranged							2H	Bow	9			
item.dark_bow_bh.27853								2H	Bow	9			
item.dark_bow_tie.19970								Neck					
item.dark_cavalier.2641								Head					
item.dark_crab.11936													
item.dark_dagger.746								Weapon	Stab Sword	4			
item.dark_essence_block.13446													
item.dark_essence_fragments.7938													
item.dark_fishing_bait.11940													
item.dark_flippers.25557								Feet					
item.dark_infinity_bottoms.12459	25 Defence, 50 Magic							Legs					
item.dark_infinity_colour_kit.12528													
item.dark_infinity_hat.12457	25 Defence, 50 Magic							Head					
item.dark_infinity_top.12458	25 Defence, 50 Magic							Body					
item.dark_kebbit_fur.10115													
item.dark_relic.21027													
item.dark_squall_hood.29566								Head					
item.dark_squall_robe_bottom.29570								Legs					
item.dark_squall_robe_top.29568								Body					
item.dark_trousers.19964								Legs					
item.dark_tuxedo_cuffs.19961								Hands					
item.dark_tuxedo_jacket.19958								Body					
item.dark_tuxedo_shoes.19967								Feet					
item.darklight.6746								Weapon	Slash Sword	5			
item.dashing_kebbit_fur.10127													
item.dawnbringer.22516								Weapon	Powered Staff	4			
item.death_talisman.1456													
item.death_tiara.5547								Head					
item.decorative_armour.4069	30 Defence / 5 Defence							Body, Cape, Head, Legs					
item.decorative_boots.25163								Feet					
item.decorative_full_helm.25165								Head					
item.decorative_helm.4071	30 Defence / 5 Defence							Head					
item.decorative_shield.4072	30 Defence / 5 Defence							Shield					
item.decorative_sword.4068	5 Attack							Weapon	Slash Sword	5			
item.deerstalker.12540								Head					
item.defence_cape.9753	99 Defence							Cape					
item.defence_hood.9755	99 Defence							Head					
item.defender_icon.10558													
item.defensive_shield.8856													
item.delphinium_seed.6457													
item.demon_feet.23294								Feet					
item.demonic_sigil_mould.6747													
item.dense_essence_block.13445													
item.desert_amulet_1.13133								Neck					
item.desert_amulet_2.13134								Neck					
item.desert_amulet_3.13135								Neck					
item.desert_amulet_4.13136								Neck					
item.desert_boots.1837								Feet					
item.desert_camo_legs.10063								Legs					
item.desert_camo_top.10061								Body					
item.desert_devil_fur.10123													
item.desert_disguise.4611								Head					
item.desert_goat_horn.9735													
item.desert_legs.6390								Legs					
item.desert_lizard_bone.7902													
item.desert_robe.1835								Legs					
item.desert_robes.6386								Legs					
item.desert_shirt.1833								Body					
item.desert_top.6384								Body					
item.devout_boots.22954	60 Prayer							Feet					
item.dexterous_prayer_scroll.21034													
item.dharok_s_armour_set.12877													
item.dharok_s_greataxe.4718	70 Attack, 70 Strength							2H	Axe	7			
item.dharok_s_helm.4716	70 Defence							Head					
item.dharok_s_platebody.4720	70 Defence							Body					
item.dharok_s_platelegs.4722	70 Defence							Legs					
item.diamond_amulet.1700								Neck					
item.diamond_amulet_u.1681													
item.diamond_bolt_tips.9192													
item.diamond_bolts.9340	61 Ranged							Ammo					
item.diamond_bolts_e.9243	61 Ranged							Ammo					
item.diamond_bracelet.11092								Hands					
item.diamond_dragon_bolts.21969	64 Ranged							Ammo					
item.diamond_dragon_bolts_e.21946	64 Ranged							Ammo					
item.digsite_teleport.12403													
item.dinh_s_blazing_bulwark.28682								2H	Bulwark	5			
item.dinh_s_bulwark.21015	75 Attack, 75 Defence							2H	Bulwark	5			
item.dinh_s_hammer.22761													
item.dirty_blast.7497													
item.disk_of_returning.981													
item.divine_rune_pouch.27281													
item.diving_apparatus.7535								Cape					
item.dizana_s_max_cape.28902								Cape					
item.dizana_s_max_hood.28904								Head					
item.dizana_s_quiver.28951								Cape					
item.doctor_s_hat.6547								Head					
item.dodgy_necklace.21143								Neck					
item.doogle_leaves.1573													
item.dorgesh_kaan_sphere.10972													
item.dorgeshuun_crossbow.8880	28 Ranged							Weapon	Crossbow	5			
item.double_ammo_mould.27012													
item.double_eye_patch.19727								Head					
item.draconic_visage.11286													
item.dragon_2h_sword.7158	60 Attack							2H	2H Sword	7			
item.dragon_2h_sword_cr.28051								2H	2H Sword	7			
item.dragon_armour_set_lg.21882													
item.dragon_armour_set_sk.21885													
item.dragon_arrow.11212	60 Ranged							Ammo					
item.dragon_arrowtips.11237													
item.dragon_axe.6739	61 Attack							Weapon	Axe	5			
item.dragon_battleaxe.1377	60 Attack							Weapon	Axe	6			
item.dragon_battleaxe_cr.28037								Weapon	Axe	6			
item.dragon_bitter.1911													
item.dragon_bitter_m.5745													
item.dragon_bolts.21905	64 Ranged							Ammo					
item.dragon_bolts_unf.21930													
item.dragon_bonemeal.4261													
item.dragon_bones.536													
item.dragon_boots.11840	60 Defence							Feet					
item.dragon_boots_cr.28055								Feet					
item.dragon_boots_ornament_kit.22231													
item.dragon_cane.12373	60 Attack							Weapon	Polestaff	5			
item.dragon_chainbody.2513	60 Defence							Body					
item.dragon_chainbody_cr.28065								Body					
item.dragon_chainbody_ornament_kit.12534													
item.dragon_claws.13652	60 Attack							2H	Claw	4			
item.dragon_claws_cr.28039								2H	Claw	4			
item.dragon_crossbow.21902	64 Ranged							Weapon	Crossbow	6			
item.dragon_crossbow_cr.28053								Weapon	Crossbow	6			
item.dragon_crossbow_u.21921													
item.dragon_dagger.1215	60 Attack							Weapon	Stab Sword	4			
item.dragon_dagger_cr.28019								Weapon	Stab Sword	4			
item.dragon_dagger_p_cr.28021								Weapon	Stab Sword	4			
item.dragon_dagger_p_cr.28023								Weapon	Stab Sword	4			
item.dragon_dagger_p_cr.28025								Weapon	Stab Sword	4			
item.dragon_dart.11230	60 Ranged							Weapon	Thrown	3			
item.dragon_dart_tip.11232													
item.dragon_defender.12954	60 Defence							Shield					
item.dragon_defender_ornament_kit.20143													
item.dragon_felling_axe.28217								2H	Axe	7			
item.dragon_fire_arrow.11217	60 Ranged							Ammo					
item.dragon_full_helm.11335	60 Defence							Head					
item.dragon_full_helm_ornament_kit.12538													
item.dragon_gloves.7461								Hands					
item.dragon_halberd.3204	60 Attack, 30 Strength							2H	Polearm	7			
item.dragon_halberd_cr.28049								2H	Polearm	7			
item.dragon_harpoon.21028	60 Attack							Weapon	Stab Sword	5			
item.dragon_hasta.22731	60 Attack							Weapon	Spear	4			
item.dragon_hunter_crossbow.21012	65 Ranged							Weapon	Crossbow	6			
item.dragon_hunter_crossbow_b.25918								Weapon	Crossbow	6			
item.dragon_hunter_lance.22978	70 Attack							Weapon	Spear	4			
item.dragon_hunter_wand.30070								Weapon	Staff	5			
item.dragon_impling_jar.11256													
item.dragon_javelin.19484	65 Ranged							Ammo					
item.dragon_javelin_tips.19582													
item.dragon_kiteshield.21895	60 Defence							Shield					
item.dragon_kiteshield_ornament_kit.22239													
item.dragon_knife.22804	60 Ranged							Weapon	Thrown	3			
item.dragon_legs_skirt_ornament_kit.12536													
item.dragon_limbs.21918													
item.dragon_longsword.1305	60 Attack							Weapon	Slash Sword	5			
item.dragon_longsword_bh.27859								Weapon	Slash Sword	5			
item.dragon_longsword_cr.28033								Weapon	Slash Sword	5			
item.dragon_mace.1434	60 Attack							Weapon	Spiked	4			
item.dragon_mace_bh.27857								Weapon	Spiked	4			
item.dragon_mace_cr.28027								Weapon	Spiked	4			
item.dragon_med_helm.1149	60 Defence							Head					
item.dragon_med_helm_cr.28057								Head					
item.dragon_metal_lump.22103													
item.dragon_metal_shard.22097													
item.dragon_metal_slice.22100													
item.dragon_necklace.1664								Neck					
item.dragon_pickaxe.11920	60 Attack							Weapon	Pickaxe	5			
item.dragon_pickaxe_upgrade_kit.12800													
item.dragon_platebody.21892	60 Defence							Body					
item.dragon_platebody_ornament_kit.22236													
item.dragon_platelegs.4087	60 Defence							Legs					
item.dragon_platelegs_cr.28061								Legs					
item.dragon_plateskirt.4585	60 Defence							Legs					
item.dragon_plateskirt_cr.28063								Legs					
item.dragon_scale_dust.241													
item.dragon_scimitar.4587	60 Attack							Weapon	Slash Sword	4			
item.dragon_scimitar_cr.28031								Weapon	Slash Sword	4			
item.dragon_scimitar_ornament_kit.20002													
item.dragon_spear.1249	60 Attack							2H	Spear	4			
item.dragon_spear_cr.28041								2H	Spear	4			
item.dragon_spear_p_cr.28043								2H	Spear	4			
item.dragon_spear_p_cr.28045								2H	Spear	4			
item.dragon_spear_p_cr.28047								2H	Spear	4			
item.dragon_sq_shield.1187	60 Defence							Shield					
item.dragon_sq_shield_cr.28059								Shield					
item.dragon_sq_shield_ornament_kit.12532													
item.dragon_sword.21009	60 Attack							Weapon	Stab Sword	4			
item.dragon_sword_cr.28029								Weapon	Stab Sword	4			
item.dragon_thrownaxe.20849	61 Ranged							Weapon	Thrown	5			
item.dragon_token.7478													
item.dragon_warhammer.13576	60 Attack							Weapon	Blunt	6			
item.dragon_warhammer_cr.28035								Weapon	Blunt	6			
item.dragon_warhammer_ornament_kit.26709													
item.dragonbone_necklace.22111	80 Prayer							Neck					
item.dragonfire_shield.11283	75 Defence							Shield					
item.dragonfire_ward.22002	75 Defence, 70 Ranged							Shield					
item.dragonfruit.22929													
item.dragonfruit_pie.22795													
item.dragonfruit_sapling.22866													
item.dragonfruit_seedling.22862													
item.dragonfruit_seedling_w.22864													
item.dragonfruit_tree_seed.22877													
item.dragonstone.1615													
item.dragonstone_amulet.1702								Neck					
item.dragonstone_amulet_u.1683													
item.dragonstone_armour_set.23667													
item.dragonstone_bolt_tips.9193													
item.dragonstone_bolts.9341	61 Ranged							Ammo					
item.dragonstone_bolts_e.9244	61 Ranged							Ammo					
item.dragonstone_boots.24043	40 Defence							Feet					
item.dragonstone_bracelet.11115								Hands					
item.dragonstone_dragon_bolts.21971	64 Ranged							Ammo					
item.dragonstone_dragon_bolts_e.21948	64 Ranged							Ammo					
item.dragonstone_full_helm.24034	40 Defence							Head					
item.dragonstone_gauntlets.24046	40 Defence							Hands					
item.dragonstone_platebody.24037	40 Defence							Body					
item.dragonstone_platelegs.24040	40 Defence							Legs					
item.dragonstone_ring.1645								Ring					
item.drakan_s_medallion.22400								Neck					
item.drake.23041													
item.drake_bonemeal.22756													
item.drake_bones.22783													
item.drake_s_claw.22957													
item.drake_s_tooth.22960													
item.dramen_staff.772								Weapon	Blunt	4			
item.draynor_manor_teleport.19615													
item.dream_log.9067													
item.dreamy_lamp.11157													
item.drift_net.21652													
item.druid_pouch.2957													
item.druid_s_robe.538								Legs					
item.druid_s_robe_top.540								Body					
item.drunk_dragon.2092													
item.dual_macuahuitl.28997								2H	Spiked	4			
item.dual_sai.23206								2H	Stab Sword	5			
item.dust.30328													
item.dust_battlestaff.20736	30 Attack, 30 Magic							Weapon	Staff	5			
item.dust_rune.4696													
item.dusty_lamp.28132													
item.dwarf_cannon_set.12863													
item.dwarf_weed.267													
item.dwarf_weed_potion_unf.109													
item.dwarf_weed_seed.5303													
item.dwarven_battleaxe.5056													
item.dwarven_helmet.11200	50 Defence							Head					
item.dwarven_rock_cake.7509													
item.dwarven_stout.1913													
item.dwarven_stout_m.5747													
item.dwellberries.2126													
item.dwellberry_seed.5103													
item.dynamite.13573													
item.dynamite_pot.13572													
item.eagle_cape.10171								Cape					
item.eagle_feather.10167													
item.earmuffs.4166	15 Slayer							Head					
item.earth_battlestaff.1399	1 Magic							Weapon	Staff	5			
item.earth_impling_jar.11244													
item.earth_orb.575													
item.earth_talisman.1440													
item.earth_tiara.5535								Head					
item.echo_boots.28945								Feet					
item.echo_crystal.28942													
item.eclectic_impling_jar.11248													
item.eclipse_atlatl.29000								2H	Bow, Thrown	4			
item.eclipse_moon_chestplate.29004								Body					
item.eclipse_moon_helm.29010								Head					
item.eclipse_moon_tassets.29007								Legs					
item.eclipse_red.29415													
item.ectophial.4251													
item.edible_seaweed.403													
item.eel_sushi.10971													
item.efaritay_s_aid.21140								Ring					
item.efh_salt.22595													
item.egg.1944													
item.egg_and_tomato.7064													
item.egg_mould.21252													
item.egg_potato.7056													
item.egg_whisk.7435								Weapon	Stab Sword	4			
item.elder_4.20916													
item.elder_4.20924													
item.elder_chaos_hood.20595	40 Magic							Head					
item.elder_chaos_robe.20520	40 Magic							Legs					
item.elder_chaos_top.20517	40 Magic							Body					
item.elder_maul.21003	75 Attack, 75 Strength							2H	Blunt	6			
item.eldritch_nightmare_staff.24425	75 Magic, 50 Hitpoints							Weapon	Staff	5			
item.eldritch_orb.24517													
item.elemental_helmet.9729								Head					
item.elemental_ore.2892													
item.elemental_shield.2890								Shield					
item.elemental_sphere.8352													
item.elemental_talisman.5516													
item.elemental_tiara.26804								Head					
item.elf_quest_lamp.28552													
item.elidinis_ward.25985								Shield					
item.elidinis_ward_f.27251								Shield					
item.elite_black_full_helm.29560								Head					
item.elite_black_platebody.29562								Body					
item.elite_black_platelegs.29564								Legs					
item.elite_calamity_breeches.26759								Legs					
item.elite_calamity_chest.26753								Body					
item.elite_void_robe.13073	42 Attack, 42 Strength, 42 Defence, 42 Ranged, 42 Magic, 22 Prayer, 42 Hitpoints							Legs					
item.elite_void_top.13072	42 Attack, 42 Strength, 42 Defence, 42 Ranged, 42 Magic, 22 Prayer, 42 Hitpoints							Body					
item.elven_boots.24003								Feet					
item.elven_dawn.23948													
item.elven_gloves.24006								Hands					
item.elven_legwear.24024								Legs					
item.elven_signet.23943								Ring					
item.elven_skirt.24012								Legs					
item.elven_top.24009								Body					
item.elysian_sigil.12819													
item.elysian_spirit_shield.12817	75 Defence, 75 Prayer							Shield					
item.emberlight.29589								Weapon	Slash Sword	4			
item.emerald_amulet.1696								Neck					
item.emerald_amulet_u.1677													
item.emerald_bolt_tips.9190													
item.emerald_bolts.9338	46 Ranged							Ammo					
item.emerald_bolts_e.9241	36 Ranged							Ammo					
item.emerald_bracelet.11076								Hands					
item.emerald_dragon_bolts.21965	64 Ranged							Ammo					
item.emerald_dragon_bolts_e.21942	64 Ranged							Ammo					
item.emerald_lantern.9064													
item.emerald_sickle_b.22433								Weapon	Slash Sword	5			
item.emissary_hood.29868								Head					
item.emissary_robe_bottom.29872								Legs					
item.emissary_robe_top.29870								Body					
item.emissary_sandals.29874								Feet					
item.empty_candle_lantern.4527													
item.empty_cup.1980													
item.empty_fishbowl.6667													
item.empty_oil_lamp.4525													
item.empty_oil_lantern.4535													
item.empty_plant_pot.5350													
item.empty_sack.5418													
item.enchant_diamond.8019													
item.enchant_dragonstone.8020													
item.enchant_emerald_or_jade.8017													
item.enchant_onyx.8021													
item.enchant_ruby_or_topaz.8018													
item.enchant_sapphire_or_opal.8016													
item.enchanted_bar.4007													
item.enchanted_emerald_sickle_b.22435								Weapon	Slash Sword	5			
item.enchanted_gem.4155													
item.enchanted_hat.7400	20 Defence, 40 Magic							Head					
item.enchanted_lyre.3690								Weapon	Unarmed	4			
item.enchanted_lyre_i.23458								Weapon	Unarmed	4			
item.enchanted_robe.7398	20 Defence, 40 Magic							Legs					
item.enchanted_ruby_sickle_b.24695								Weapon	Slash Sword	5			
item.enchanted_symbol.21800													
item.enchanted_top.7399	20 Defence, 40 Magic							Body					
item.enhanced_crystal_teleport_seed.23959													
item.enhanced_crystal_weapon_seed.25859													
item.enhanced_quetzal_whistle_blueprint.29253													
item.enriched_snapdragon_seed.29538													
item.ensouled_abyssal_head.13507													
item.ensouled_aviansie_head.13504													
item.ensouled_bear_head.13462													
item.ensouled_bloodveld_head.13495													
item.ensouled_chaos_druid_head.13471													
item.ensouled_dagannoth_head.13492													
item.ensouled_demon_head.13501													
item.ensouled_dog_head.13468													
item.ensouled_dragon_head.13510													
item.ensouled_elf_head.13480													
item.ensouled_giant_head.13474													
item.ensouled_goblin_head.13447													
item.ensouled_hellhound_head.26996													
item.ensouled_horror_head.13486													
item.ensouled_imp_head.13453													
item.ensouled_kalphite_head.13489													
item.ensouled_minotaur_head.13456													
item.ensouled_monkey_head.13450													
item.ensouled_ogre_head.13477													
item.ensouled_scorpion_head.13459													
item.ensouled_troll_head.13483													
item.ensouled_tzhaar_head.13498													
item.ensouled_unicorn_head.13465													
item.equa_leaves.2128													
item.equa_toad_s_legs.2154													
item.escape_crystal.22517								Ring					
item.essence_impling_jar.11246													
item.eternal_boots.13235	75 Defence, 75 Magic							Feet					
item.eternal_crystal.13227													
item.eternal_gem.21270													
item.evil_chicken_feet.20433								Feet					
item.evil_chicken_head.20439								Head					
item.evil_chicken_legs.20442								Legs					
item.evil_chicken_wings.20436								Body					
item.excalibur.35	20 Attack							Weapon	Slash Sword	5			
item.executioner_s_axe_head.28319													
item.expeditious_bracelet.21177								Hands					
item.experiment_bone.7893													
item.expert_mining_gloves.21392								Hands					
item.explorer_backpack.12514								Cape					
item.explorer_s_ring_1.13125								Ring					
item.explorer_s_ring_2.13126								Ring					
item.explorer_s_ring_3.13127								Ring					
item.explorer_s_ring_4.13128								Ring					
item.exquisite_boots.5064													
item.exquisite_clothes.5067													
item.extended_anti_venom_4.29824													
item.eye_of_newt.221													
item.facemask.4164	10 Slayer							Head					
item.fake_beak.10172								Head					
item.fake_beard.4593													
item.falador_shield_1.13117								Shield					
item.falador_shield_2.13118								Shield					
item.falador_shield_3.13119								Shield					
item.falador_shield_4.13120								Shield					
item.falador_teleport.8009													
item.falconer_s_glove.10023	43 Hunter							Weapon	Unarmed	4			
item.fancier_boots.28672								Feet					
item.fancy_boots.9005								Feet					
item.fancy_hedge.8207													
item.fancy_teak_dresser.8049													
item.fancy_tiara.20008								Head					
item.fangs_of_venenatis.27670													
item.farmer_s_boots.13644								Feet					
item.farmer_s_boro_trousers.13640								Legs					
item.farmer_s_jacket.13642								Body					
item.farmer_s_shirt.13643								Body					
item.farmer_s_strawhat.13646								Head					
item.farming_cape.9810	99 Farming							Cape					
item.farming_hood.9812	99 Farming							Head					
item.farseer_helm.3755	45 Defence							Head					
item.fat_snail.3367													
item.fat_snail_meat.3373													
item.fayrg_bonemeal.4853													
item.fayrg_bones.4830													
item.feather.314													
item.feather_pack.11881													
item.feathered_journal.10179													
item.fedora.11990								Head					
item.feldip_hills_teleport.12404													
item.feldip_weasel_fur.10119													
item.felling_axe_handle.28177													
item.fenkenstrain_s_castle_teleport.19621													
item.ferocious_gloves.22981	80 Attack, 80 Defence							Hands					
item.ferret.10092													
item.fez.6382								Head					
item.fibula_piece.6167													
item.field_arrow.22228								Ammo					
item.field_ration.7934													
item.fiendish_ashes.25766													
item.fighter_hat.10548	45 Defence							Head					
item.fighter_torso.10551	40 Defence							Body					
item.fighting_boots.9006								Feet					
item.filled_plant_pot.5354													
item.fillets.10969													
item.fine_cloth.3470													
item.fine_mesh_net.21865													
item.fingernails.2384													
item.fingers.10965													
item.fire_battlestaff.1393	1 Magic							Weapon	Staff	5			
item.fire_cape.6570								Cape					
item.fire_feather.1583													
item.fire_giant_bone.7872													
item.fire_max_cape.13329	99 Attack, 99 Strength, 99 Defence, 99 Ranged, 99 Magic, 99 Prayer, 99 Hitpoints, 99 Runecraft, 99 Construction, 99 Agility, 99 Herblore, 99 Thieving, 99 Crafting, 99 Fletching, 99 Slayer, 99 Hunter, 99 Mining, 99 Smithing, 99 Fishing, 99 Cooking, 99 Firemaking, 99 Woodcutting, 99 Farming							Cape					
item.fire_max_hood.13330	99 Attack, 99 Strength, 99 Defence, 99 Ranged, 99 Magic, 99 Prayer, 99 Hitpoints, 99 Runecraft, 99 Construction, 99 Agility, 99 Herblore, 99 Thieving, 99 Crafting, 99 Fletching, 99 Slayer, 99 Hunter, 99 Mining, 99 Smithing, 99 Fishing, 99 Cooking, 99 Firemaking, 99 Woodcutting, 99 Farming							Head					
item.fire_orb.569													
item.fire_talisman.1442													
item.fire_tiara.5537								Head					
item.firemaking_cape.9804	99 Firemaking							Cape					
item.firemaking_hood.9806	99 Firemaking							Head					
item.fish_barrel.25582													
item.fish_food.272													
item.fish_offcuts.11334													
item.fish_pie.7188													
item.fish_sack.22838								Cape					
item.fish_sack_barrel.25585								Cape					
item.fishbowl.6668													
item.fishbowl_and_net.6673													
item.fishbowl_helmet.7534								Head					
item.fishing_bait.313													
item.fishing_cape.9798	99 Fishing							Cape					
item.fishing_explosive.6660													
item.fishing_guild_teleport.24959													
item.fishing_hood.9800	99 Fishing							Head					
item.fishing_rod.307													
item.fishlike_thing.6202													
item.five_barrels.8864													
item.fixed_device.6082								2H	Gun	4			
item.fiyr_remains.3404													
item.flamtaer_bag.12854													
item.flamtaer_bracelet.21180								Hands					
item.flamtaer_hammer.3678													
item.flared_trousers.10394								Legs					
item.flattened_hide.6171													
item.flax.1779													
item.fletching_cape.9783	99 Fletching							Cape					
item.fletching_hood.9785	99 Fletching							Head					
item.flighted_ogre_arrow.2865													
item.flippers.6666								Feet					
item.fluffy_feathers.21248													
item.fly_fishing_rod.309													
item.forester_s_ration.28157													
item.forestry_basket.28143								Cape					
item.forestry_boots.28175								Feet					
item.forestry_hat.28173								Head					
item.forestry_kit.28136								Cape					
item.forestry_legs.28171								Legs					
item.forestry_top.28169								Body					
item.fortis_ash_white.29961													
item.four_barrels.8863													
item.four_poster_bed.8586													
item.fox.5608								Weapon	Unarmed	4			
item.fox_fur.29163													
item.fremennik_beige_shirt.3771								Body					
item.fremennik_black_cloak.3789								Cape					
item.fremennik_blade.3757	30 Attack							Weapon	Slash Sword	4			
item.fremennik_blue_cloak.3763								Cape					
item.fremennik_blue_shirt.3775								Body					
item.fremennik_boots.3791								Feet					
item.fremennik_brown_cloak.3761								Cape					
item.fremennik_brown_shirt.3767								Body					
item.fremennik_cyan_cloak.3759								Cape					
item.fremennik_gloves.3799								Hands					
item.fremennik_green_cloak.3765								Cape					
item.fremennik_grey_cloak.3779								Cape					
item.fremennik_grey_shirt.3769								Body					
item.fremennik_hat.3797								Head					
item.fremennik_helm.3748	30 Defence							Head					
item.fremennik_kilt.23246								Legs					
item.fremennik_pink_cloak.3787								Cape					
item.fremennik_purple_cloak.3785								Cape					
item.fremennik_quest_lamp.28551													
item.fremennik_red_cloak.3777								Cape					
