card_id	examine_text	source	reference
item.dragon_kiteshield.21895	An ancient and powerful looking Dragon Kiteshield.	Old School RuneScape Wiki	Dragon kiteshield; revision 15183892; canonical ID 21895
item.dragon_kiteshield_ornament_kit.22239	Use on a dragon kiteshield to make it look fancier!	Pinned RuneLite OSRS cache	build 239; item ID 22239
item.dragon_knife.22804	A finely balanced and powerful throwing knife.	Old School RuneScape Wiki	Dragon knife; revision 15189027; canonical ID 22804
item.dragon_legs_skirt_ornament_kit.12536	Use on dragon platelegs or plateskirt to make them look fancier!	Pinned RuneLite OSRS cache	build 239; item ID 12536
item.dragon_limbs.21918	A pair of dragon crossbow limbs.	Pinned RuneLite OSRS cache	build 239; item ID 21918
item.dragon_longsword.1305	A very powerful sword.	Old School RuneScape Wiki	Dragon longsword; revision 15183370; canonical ID 1305
item.dragon_longsword_bh.27859	A very powerful sword.	Old School RuneScape Wiki	Dragon longsword (bh); revision 15191270; canonical ID 27859
item.dragon_longsword_cr.28033	A very powerful sword.	Old School RuneScape Wiki	Dragon longsword (cr); revision 15191325; canonical ID 28033
item.dragon_mace.1434	A spiky mace.	Old School RuneScape Wiki	Dragon mace; revision 15272260; canonical ID 1434
item.dragon_mace_bh.27857	A spiky mace.	Old School RuneScape Wiki	Dragon mace (bh); revision 15191271; canonical ID 27857
item.dragon_mace_cr.28027	A spiky mace.	Old School RuneScape Wiki	Dragon mace (cr); revision 15191327; canonical ID 28027
item.dragon_med_helm.1149	Makes the wearer pretty intimidating.	Old School RuneScape Wiki	Dragon med helm; revision 15182566; canonical ID 1149
item.dragon_med_helm_cr.28057	Makes the wearer pretty intimidating.	Old School RuneScape Wiki	Dragon med helm (cr); revision 15191329; canonical ID 28057
item.dragon_metal_lump.22103	A badly damaged lump of dragon metal.	Pinned RuneLite OSRS cache	build 239; item ID 22103
item.dragon_metal_shard.22097	A badly damaged shard of dragon metal.	Pinned RuneLite OSRS cache	build 239; item ID 22097
item.dragon_metal_sheet.31996	A very old sheet of dragon metal.	Pinned RuneLite OSRS cache	build 239; item ID 31996
item.dragon_metal_slice.22100	A badly damaged slice of dragon metal.	Pinned RuneLite OSRS cache	build 239; item ID 22100
item.dragon_nails.31406	Keeps things in place fairly permanently.	Old School RuneScape Wiki	Dragon nails; revision 15273079; canonical ID 31406
item.dragon_necklace.1664	I wonder if this is valuable.	Old School RuneScape Wiki	Dragon necklace; revision 15185042; canonical ID 1664
item.dragon_pickaxe.11920	If rocks could feel fear, they'd fear this.	Old School RuneScape Wiki	Dragon pickaxe; revision 15185360; canonical ID 11920
item.dragon_pickaxe_upgrade_kit.12800	Makes a dragon pickaxe more beautiful.	Old School RuneScape Wiki	Dragon pickaxe upgrade kit; revision 15186420; canonical ID 12800
item.dragon_platebody.21892	Provides excellent protection.	Old School RuneScape Wiki	Dragon platebody; revision 15183891; canonical ID 21892
item.dragon_platebody_ornament_kit.22236	Use on a dragon platebody to make it look fancier!	Pinned RuneLite OSRS cache	build 239; item ID 22236
item.dragon_platelegs.4087	These look pretty heavy.	Old School RuneScape Wiki	Dragon platelegs; revision 15182569; canonical ID 4087
item.dragon_platelegs_cr.28061	Heavy protective legwear.	Old School RuneScape Wiki	Dragon platelegs (cr); revision 15191330; canonical ID 28061
item.dragon_plateskirt.4585	This looks pretty heavy.	Old School RuneScape Wiki	Dragon plateskirt; revision 15182570; canonical ID 4585
item.dragon_plateskirt_cr.28063	This looks pretty heavy.	Old School RuneScape Wiki	Dragon plateskirt (cr); revision 15191331; canonical ID 28063
item.dragon_scale_dust.241	Finely ground scale of Dragon.	Pinned RuneLite OSRS cache	build 239; item ID 241
item.dragon_scimitar.4587	A vicious, curved sword.	Old School RuneScape Wiki	Dragon scimitar; revision 15238190; canonical ID 4587
item.dragon_scimitar_cr.28031	A vicious, curved sword.	Old School RuneScape Wiki	Dragon scimitar (cr); revision 15191332; canonical ID 28031
item.dragon_scimitar_ornament_kit.20002	Use on the dragon scimitar to trim it with gold.	Pinned RuneLite OSRS cache	build 239; item ID 20002
item.dragon_spear.1249	A dragon tipped spear.	Old School RuneScape Wiki	Dragon spear; revision 15225661; canonical ID 1249
item.dragon_spear_cr.28041	A dragon-tipped spear.	Old School RuneScape Wiki	Dragon spear (cr); revision 15191333; canonical ID 28041
item.dragon_spear_p_cr.28043	A dragon-tipped spear.	Old School RuneScape Wiki	Dragon spear (p)(cr); revision 15191333; canonical ID 28043
item.dragon_spear_p_cr.28045	A dragon-tipped spear.	Old School RuneScape Wiki	Dragon spear (p+)(cr); revision 15191333; canonical ID 28045
item.dragon_spear_p_cr.28047	A dragon-tipped spear.	Old School RuneScape Wiki	Dragon spear (p++)(cr); revision 15191333; canonical ID 28047
item.dragon_sq_shield.1187	An ancient and powerful looking Dragon Square shield.	Old School RuneScape Wiki	Dragon sq shield; revision 15182567; canonical ID 1187
item.dragon_sq_shield_cr.28059	An ancient and powerful-looking Dragon Square Shield.	Old School RuneScape Wiki	Dragon sq shield (cr); revision 15191334; canonical ID 28059
item.dragon_sq_shield_ornament_kit.12532	Use on a dragon square shield to make it look fancier!	Pinned RuneLite OSRS cache	build 239; item ID 12532
item.dragon_staff_of_collection.30611	A staff of collection, dragon tier.	Old School RuneScape Wiki	Dragon staff of collection; revision 15245738; canonical ID 30611
item.dragon_sword.21009	A razor sharp sword.	Old School RuneScape Wiki	Dragon sword; revision 15188067; canonical ID 21009
item.dragon_sword_cr.28029	A razor sharp sword.	Old School RuneScape Wiki	Dragon sword (cr); revision 15191335; canonical ID 28029
item.dragon_thrownaxe.20849	A razor sharp throwing axe.	Old School RuneScape Wiki	Dragon thrownaxe; revision 15271370; canonical ID 20849
item.dragon_token.7478	It's got a dragon on it.	Old School RuneScape Wiki	Dragon token; revision 15185732; canonical ID 7478
item.dragon_warhammer.13576	Spikey, close combat weapon.	Old School RuneScape Wiki	Dragon warhammer; revision 15187325; canonical ID 13576
item.dragon_warhammer_cr.28035	Spikey, close combat weapon.	Old School RuneScape Wiki	Dragon warhammer (cr); revision 15191336; canonical ID 28035
item.dragon_warhammer_ornament_kit.26709	Use on a dragon warhammer to make it look fancier!	Old School RuneScape Wiki	Dragon warhammer ornament kit; revision 15190800; canonical ID 26709
item.dragonbone_necklace.22111	A necklace made out of dragon bones.	Old School RuneScape Wiki	Dragonbone necklace; revision 15188633; canonical ID 22111
item.dragonfire_shield.11283	A heavy shield with a snarling, draconic visage.	Old School RuneScape Wiki	Dragonfire shield; revision 15240501; canonical ID 11283
item.dragonfire_ward.22002	A light shield with a haunting, skeletal visage.	Old School RuneScape Wiki	Dragonfire ward; revision 15188640; canonical ID 22002
item.dragonfruit.22929	A large ripe dragonfruit.	Old School RuneScape Wiki	Dragonfruit; revision 15189009; canonical ID 22929
item.dragonfruit_pie.22795	Mmm dragonfruit pie.	Old School RuneScape Wiki	Dragonfruit pie; revision 15242177; canonical ID 22795
item.dragonfruit_sapling.22866	This sapling is ready to be replanted in a fruit tree patch.	Pinned RuneLite OSRS cache	build 239; item ID 22866
item.dragonfruit_seedling.22862	A Dragonfruit tree seed has been sown in this plant pot.	Old School RuneScape Wiki	Dragonfruit seedling; revision 15189010; canonical ID 22862
item.dragonfruit_seedling_w.22864	A Dragonfruit tree seed has been sown in this plant pot.	Old School RuneScape Wiki	Dragonfruit seedling (w); revision 15189010; canonical ID 22864
item.dragonfruit_tree_seed.22877	Plant in a plantpot of soil to grow a sapling.	Old School RuneScape Wiki	Dragonfruit tree seed; revision 15189008; canonical ID 22877
item.dragonstone.1615	This looks valuable.	Pinned RuneLite OSRS cache	build 239; item ID 1615
item.dragonstone_amulet.1702	I wonder if I can get this enchanted.	Old School RuneScape Wiki	Dragonstone amulet; revision 15183755; canonical ID 1702
item.dragonstone_amulet_u.1683	It needs a string so I can wear it.	Pinned RuneLite OSRS cache	build 239; item ID 1683
item.dragonstone_armour_set.23667	A set containing dragonstone helmet, platebody, platelegs, boots and gauntlets.	Pinned RuneLite OSRS cache	build 239; item ID 23667
item.dragonstone_bolt_tips.9193	Dragonstone bolt tips.	Old School RuneScape Wiki	Dragonstone bolt tips; revision 15262471; canonical ID 9193
item.dragonstone_bolts.9341	Dragonstone tipped Runite crossbow bolts.	Old School RuneScape Wiki	Dragonstone bolts; revision 15182979; canonical ID 9341
item.dragonstone_bolts_e.9244	Enchanted Dragonstone tipped Runite Crossbow Bolts.	Old School RuneScape Wiki	Dragonstone bolts (e); revision 15276329; canonical ID 9244
item.dragonstone_boots.24043	A stylish pair of rune boots inlaid with dragonstones.	Old School RuneScape Wiki	Dragonstone boots; revision 15189364; canonical ID 24043
item.dragonstone_bracelet.11115	I wonder if this is valuable.	Old School RuneScape Wiki	Dragonstone bracelet; revision 15231178; canonical ID 11115
item.dragonstone_dragon_bolts.21971	Dragon crossbow bolts, tipped with dragonstone. Double dragon!	Old School RuneScape Wiki	Dragonstone dragon bolts; revision 15188620; canonical ID 21971
item.dragonstone_dragon_bolts_e.21948	Enchanted Dragon crossbow bolts, tipped with dragonstone. Double dragon!	Old School RuneScape Wiki	Dragonstone dragon bolts (e); revision 15274047; canonical ID 21948
item.dragonstone_full_helm.24034	A stylish rune full helm inlaid with dragonstones.	Old School RuneScape Wiki	Dragonstone full helm; revision 15189361; canonical ID 24034
item.dragonstone_gauntlets.24046	A stylish pair of rune gauntlets inlaid with dragonstones.	Old School RuneScape Wiki	Dragonstone gauntlets; revision 15189365; canonical ID 24046
item.dragonstone_platebody.24037	A stylish rune platebody inlaid with dragonstones.	Old School RuneScape Wiki	Dragonstone platebody; revision 15189362; canonical ID 24037
item.dragonstone_platelegs.24040	A stylish pair of rune platelegs inlaid with dragonstones.	Old School RuneScape Wiki	Dragonstone platelegs; revision 15189363; canonical ID 24040
item.dragonstone_ring.1645	A valuable ring.	Old School RuneScape Wiki	Dragonstone ring; revision 15182982; canonical ID 1645
item.drakan_s_medallion.22400	An ancient medallion.	Old School RuneScape Wiki	Drakan's medallion; revision 15252650; canonical ID 22400
item.drake.23041	A slayer monster.	Pinned RuneLite OSRS cache	cache revision 239; item ID 23041
item.drake_bonemeal.22756	A pot of crushed drake bones.	Old School RuneScape Wiki	Drake bonemeal; revision 15189818; canonical ID 22756
item.drake_bones.22783	The bones of a ferocious Drake.	Old School RuneScape Wiki	Drake bones; revision 15270885; canonical ID 22783
item.drake_s_claw.22957	The claw of a ferocious drake. They could be combined with the boots of stone.	Old School RuneScape Wiki	Drake's claw; revision 15189032; canonical ID 22957
item.drake_s_tooth.22960	The tooth of a ferocious drake. They could be combined with holy sandals.	Old School RuneScape Wiki	Drake's tooth; revision 15189088; canonical ID 22960
item.dramen_staff.772	Crafted from a Dramen tree branch.	Old School RuneScape Wiki	Dramen staff; revision 15182983; canonical ID 772
item.draynor_manor_teleport.19615	A teleport to Draynor Manor.	Old School RuneScape Wiki	Draynor manor teleport (tablet); revision 15187517; canonical ID 19615
item.dream_log.9067	A log of my thoughts...	Old School RuneScape Wiki	Dream log; revision 15185033; canonical ID 9067
item.dreamy_lamp.11157	A lunar-styled lamp. I wonder what's inside?	Old School RuneScape Wiki	Dreamy lamp; revision 15184988; canonical ID 11157
item.drift_net.21652	A very large net, too big to be used by hand.	Old School RuneScape Wiki	Drift net; revision 15188423; canonical ID 21652
item.druid_pouch.2957	An empty druid pouch.	Old School RuneScape Wiki	Druid pouch; revision 15271280; canonical ID 2957
item.druid_s_robe.538	Keeps a druid's knees nice and warm.	Old School RuneScape Wiki	Druid's robe; revision 15184923; canonical ID 538
item.druid_s_robe_top.540	I feel closer to the gods when I am wearing this.	Old School RuneScape Wiki	Druid's robe top; revision 15184922; canonical ID 540
item.drunk_dragon.2092	A warm creamy alcoholic beverage.	Old School RuneScape Wiki	Drunk dragon; revision 15184666; canonical ID 2092
item.dual_macuahuitl.28997	A brutal pair.	Old School RuneScape Wiki	Dual macuahuitl; revision 15211196; canonical ID 28997
item.dual_sai.23206	A pair of aggressive Sai.	Old School RuneScape Wiki	Dual sai; revision 15189213; canonical ID 23206
item.dull_knife.32865	A dull knife that was presumably once used for food preparation.	Old School RuneScape Wiki	Dull knife; revision 15194159; canonical ID 32865
item.dust.30328	What you have here is some totally worthless dust. Excellent stuff!	Pinned RuneLite OSRS cache	build 239; item ID 30328
item.dust_battlestaff.20736	It's a slightly magical stick.	Old School RuneScape Wiki	Dust battlestaff; revision 15188013; canonical ID 20736
item.dust_rune.4696	A combined Air and Earth Rune.	Pinned RuneLite OSRS cache	build 239; item ID 4696
item.dusty_lamp.28132	Good for rubbing.	Old School RuneScape Wiki	Dusty lamp; revision 15191414; canonical ID 28132
item.dwarf_cannon_set.12863	A set containing the four parts of the Dwarf Multicannon.	Pinned RuneLite OSRS cache	build 239; item ID 12863
item.dwarf_weed.267	A powerful herb.	Pinned RuneLite OSRS cache	build 239; item ID 267
item.dwarf_weed_potion_unf.109	I need another ingredient to finish this Dwarf Weed potion.	Old School RuneScape Wiki	Dwarf weed potion (unf); revision 15185619; canonical ID 109
item.dwarf_weed_seed.5303	A dwarf weed seed - plant in a herb patch.	Old School RuneScape Wiki	Dwarf weed seed; revision 15231088; canonical ID 5303
item.dwarven_battleaxe.5056	This looks very rusty and worn.	Old School RuneScape Wiki	Dwarven battleaxe; revision 15183724; canonical ID 5056
item.dwarven_helmet.11200	A sturdy helmet that belonged to Rupert the Beard.	Old School RuneScape Wiki	Dwarven helmet; revision 15183706; canonical ID 11200
item.dwarven_rock_cake.7509	Red hot and glowing, ouch! Only for dwarf consumption.	Old School RuneScape Wiki	Dwarven rock cake; revision 15184117; canonical ID 7509
item.dwarven_stout.1913	A pint of thick dark beer.	Old School RuneScape Wiki	Dwarven stout; revision 15235952; canonical ID 1913
item.dwarven_stout_m.5747	This looks a good deal stronger than normal Dwarven Stout.	Old School RuneScape Wiki	Dwarven stout(m); revision 15183510; canonical ID 5747
item.dwellberries.2126	Some rather pretty blue berries.	Old School RuneScape Wiki	Dwellberries; revision 15262776; canonical ID 2126
item.dwellberry_seed.5103	A dwellberry bush seed - plant in a bush patch.	Old School RuneScape Wiki	Dwellberry seed; revision 15185808; canonical ID 5103
item.dynamite.13573	A pot of dynamite for blast mining, with a fuse ready to light.	Old School RuneScape Wiki	Dynamite; revision 15256675; canonical ID 13573
item.dynamite_pot.13572	A pot of dynamite for blast mining. Needs a fuse.	Old School RuneScape Wiki	Dynamite pot; revision 15187324; canonical ID 13572
item.eagle_cape.10171	A cape made from giant eagle feathers.	Old School RuneScape Wiki	Eagle cape; revision 15185043; canonical ID 10171
item.eagle_feather.10167	Probably a bit too big for fly fishing.	Old School RuneScape Wiki	Eagle feather; revision 15185631; canonical ID 10167
item.earmuffs.4166	These will protect my ears from loud noise.	Old School RuneScape Wiki	Earmuffs; revision 15255028; canonical ID 4166
item.earth-rune	One of the 4 basic elemental Runes.	Old School RuneScape Wiki	Earth rune; revision 15183469; canonical ID 557
item.earth_battlestaff.1399	It's a slightly magical stick.	Old School RuneScape Wiki	Earth battlestaff; revision 15182985; canonical ID 1399
item.earth_impling_jar.11244	Earth impling in a jar.	Pinned RuneLite OSRS cache	build 239; item ID 11244
item.earth_orb.575	A magic glowing orb.	Pinned RuneLite OSRS cache	build 239; item ID 575
item.earth_talisman.1440	A mysterious power emanates from the talisman...	Old School RuneScape Wiki	Earth talisman; revision 15183410; canonical ID 1440
item.earth_tiara.5535	A tiara infused with the properties of the earth.	Old School RuneScape Wiki	Earth tiara; revision 15182986; canonical ID 5535
item.earthbound_tecpatl.30957	Shaped from rock that was sharpened by time.	Old School RuneScape Wiki	Earthbound tecpatl; revision 15193211; canonical ID 30957
item.echo_boots.28945	Thick, stony boots. There's a giant crystal in the middle of them.	Old School RuneScape Wiki	Echo boots; revision 15217217; canonical ID 28945
item.echo_crystal.28942	A crystal of rebounding potential.	Pinned RuneLite OSRS cache	build 239; item ID 28942
item.echo_pearl.31946	A glowing pearl. As you stare into it, you can hear the sound of the ocean.	Pinned RuneLite OSRS cache	build 239; item ID 31946
item.eclectic_impling_jar.11248	Eclectic impling in a jar.	Pinned RuneLite OSRS cache	build 239; item ID 11248
item.eclipse_atlatl.29000	A powerful thrown weapon forged from an eclipse.	Old School RuneScape Wiki	Eclipse atlatl; revision 15273925; canonical ID 29000
item.eclipse_moon_armour_set.31142	A set containing a Eclipse moon helm, Eclipse moon chestplate, Eclipse moon tassets and Eclipse atlatl.	Pinned RuneLite OSRS cache	build 239; item ID 31142
item.eclipse_moon_chestplate.29004	The chestplate of the Eclipse Moon.	Old School RuneScape Wiki	Eclipse moon chestplate; revision 15211424; canonical ID 29004
item.eclipse_moon_helm.29010	The helm of the Eclipse Moon.	Old School RuneScape Wiki	Eclipse moon helm; revision 15211423; canonical ID 29010
item.eclipse_moon_tassets.29007	The tassets of the Eclipse Moon.	Old School RuneScape Wiki	Eclipse moon tassets; revision 15211425; canonical ID 29007
item.eclipse_red.29415	A full-bodied Aldarin Red that's generally considered the finest wine available.	Old School RuneScape Wiki	Eclipse red; revision 15212681; canonical ID 29415
item.ectophial.4251	The Ectophial.	Old School RuneScape Wiki	Ectophial; revision 15195604; canonical ID 4251
item.edible_seaweed.403	Slightly damp seaweed.	Old School RuneScape Wiki	Edible seaweed; revision 15184766; canonical ID 403
item.eel_sushi.10971	Cave-eel sushi.	Old School RuneScape Wiki	Eel sushi; revision 15185840; canonical ID 10971
item.efaritay_s_aid.21140	Aids the user against vampyres.	Old School RuneScape Wiki	Efaritay's aid; revision 15248219; canonical ID 21140
item.efh_salt.22595	A blue salt, that when burned with other salts provides various benefits.	Pinned RuneLite OSRS cache	build 239; item ID 22595
item.egg.1944	A nice fresh egg.	Old School RuneScape Wiki	Egg; revision 15203418; canonical ID 1944
item.egg_and_tomato.7064	A bowl of scrambled eggs and tomato.	Old School RuneScape Wiki	Egg and tomato; revision 15185171; canonical ID 7064
item.egg_mould.21252	Used for making things egg shaped.	Old School RuneScape Wiki	Egg mould (2017 Easter event); revision 15188326; verified ID 21252
item.egg_potato.7056	A baked potato with egg and tomato.	Old School RuneScape Wiki	Egg potato; revision 15185170; canonical ID 7056
item.egg_whisk.7435	A large whisk of death.	Old School RuneScape Wiki	Egg whisk; revision 15182987; canonical ID 7435
item.elder_4.20916	The potion blends the fury and bravery of Xeric's elder warriors. It was mixed particularly badly.	Old School RuneScape Wiki	Elder (-)(4); revision 15188118; canonical ID 20916
item.elder_4.20924	The potion blends the fury and bravery of Xeric's elder warriors. It was mixed perfectly!	Old School RuneScape Wiki	Elder (+)(4); revision 15188119; canonical ID 20924
item.elder_chaos_hood.20595	The hood worn by the dangerous elder druids.	Old School RuneScape Wiki	Elder chaos hood; revision 15187862; canonical ID 20595
item.elder_chaos_robe.20520	The robes worn by the dangerous elder druids.	Old School RuneScape Wiki	Elder chaos robe; revision 15187806; canonical ID 20520
item.elder_chaos_top.20517	The robes worn by the dangerous elder druids.	Old School RuneScape Wiki	Elder chaos top; revision 15187805; canonical ID 20517
item.elder_maul.21003	A maul crafted from the component parts of Tekton.	Old School RuneScape Wiki	Elder maul; revision 15240979; canonical ID 21003
item.elder_potion.20917	The potion blends the fury and bravery of Xeric's elder warriors. It was mixed reasonably well.	Old School RuneScape Wiki	Elder potion; revision 15188120; canonical ID 20917
item.eldritch_nightmare_staff.24425	An ancient staff corrupted by darkness. An eldritch orb has been added to it.	Old School RuneScape Wiki	Eldritch nightmare staff; revision 15252688; canonical ID 24425
item.eldritch_orb.24517	An ancient magical orb, corrupted by darkness.	Pinned RuneLite OSRS cache	build 239; item ID 24517
item.elemental_helmet.9729	A magic helmet.	Old School RuneScape Wiki	Elemental helmet; revision 15182988; canonical ID 9729
item.elemental_ore.2892	This needs refining.	Old School RuneScape Wiki	Elemental ore; revision 15183923; canonical ID 2892
item.elemental_shield.2890	A magic shield.	Old School RuneScape Wiki	Elemental shield; revision 15205412; canonical ID 2890
item.elemental_sphere.8352	How does it all fit in there?	Pinned RuneLite OSRS cache	build 239; item ID 8626
item.elemental_talisman.5516	A mysterious power emanates from the talisman...	Old School RuneScape Wiki	Elemental talisman; revision 15183928; canonical ID 5516
item.elemental_tiara.26804	A tiara infused with the properties of every elemental rune.	Old School RuneScape Wiki	Elemental tiara; revision 15190834; canonical ID 26804
item.elf_quest_lamp.28552	Completes the Elf storyline, up to and including Roving Elves.	Old School RuneScape Wiki	Elf quest lamp; revision 15194319; canonical ID 28552
item.elidinis_ward.25985	A ward once used by Elidinis herself.	Old School RuneScape Wiki	Elidinis' ward; revision 15236925; canonical ID 25985
item.elidinis_ward_f.27251	A fortified ward once used by Elidinis herself.	Old School RuneScape Wiki	Elidinis' ward (f); revision 15190534; canonical ID 27251
item.elite_black_full_helm.29560	An elite full face helmet.	Old School RuneScape Wiki	Elite black full helm; revision 15237182; canonical ID 29560
item.elite_black_platebody.29562	Provides excellent protection for someone considered elite.	Old School RuneScape Wiki	Elite black platebody; revision 15192543; canonical ID 29562
item.elite_black_platelegs.29564	These look pretty heavy and very elite.	Old School RuneScape Wiki	Elite black platelegs; revision 15192544; canonical ID 29564
item.elite_calamity_breeches.26759	Elite breeches used by the Calamity Coven.	Old School RuneScape Wiki	Elite calamity breeches; revision 15190819; canonical ID 26759
item.elite_calamity_chest.26753	An elite chest piece used by the Calamity Coven.	Old School RuneScape Wiki	Elite calamity chest; revision 15190818; canonical ID 26753
item.elite_void_robe.13073	Superior leg armour from the order of the Void Knights.	Old School RuneScape Wiki	Elite void robe; revision 15260481; canonical ID 13073
item.elite_void_top.13072	Superior torso armour from the order of the Void Knights.	Old School RuneScape Wiki	Elite void top; revision 15260476; canonical ID 13072
item.elkhorn_coral.31481	No elks were harmed in the making of this coral.	Pinned RuneLite OSRS cache	build 239; item ID 31481
item.elkhorn_frag.31511	This can be propagated in a coral nursery.	Pinned RuneLite OSRS cache	build 239; item ID 31511
item.elkhorn_potion_unf.31662	I need another ingredient to finish this Elkhorn potion.	Old School RuneScape Wiki	Elkhorn potion (unf); revision 15226156; canonical ID 31662
item.elven_boots.24003	Decorative elven boots.	Old School RuneScape Wiki	Elven boots; revision 15189476; canonical ID 24003
item.elven_dawn.23948	It seems to have a little sparkle to it.	Old School RuneScape Wiki	Elven dawn; revision 15189387; canonical ID 23948
item.elven_gloves.24006	Decorative elven gloves.	Old School RuneScape Wiki	Elven gloves; revision 15189477; canonical ID 24006
item.elven_legwear.24024	Clothing from the elven city of Prifddinas.	Old School RuneScape Wiki	Elven legwear; revision 15189474; canonical ID 24024
item.elven_signet.23943	A signet ring with some elven markings.	Old School RuneScape Wiki	Elven signet; revision 15189385; canonical ID 23943
item.elven_skirt.24012	Clothing from the elven city of Prifddinas.	Old School RuneScape Wiki	Elven skirt (yellow); revision 15189472; canonical ID 24012
item.elven_top.24009	Clothing from the elven city of Prifddinas.	Old School RuneScape Wiki	Elven top (yellow); revision 15189468; canonical ID 24009
item.elysian_sigil.12819	A sigil in the shape of an elysian symbol.	Pinned RuneLite OSRS cache	build 239; item ID 12819
item.elysian_spirit_shield.12817	An ethereal shield with an elysian sigil attached to it.	Old School RuneScape Wiki	Elysian spirit shield; revision 15186436; canonical ID 12817
item.emberlight.29589	Silver, blood and crystal smelted in tormenting flames.	Old School RuneScape Wiki	Emberlight; revision 15272238; canonical ID 29589
item.emerald	This looks valuable.	Old School RuneScape Wiki	Emerald; revision 15218233; canonical ID 1605
item.emerald-necklace	I wonder if this is valuable.	Old School RuneScape Wiki	Emerald necklace; revision 15182993; canonical ID 1658
item.emerald-ring	A valuable ring.	Old School RuneScape Wiki	Emerald ring; revision 15183369; canonical ID 1639
item.emerald_amulet.1696	I wonder if I can get this enchanted.	Old School RuneScape Wiki	Emerald amulet; revision 15184795; canonical ID 1696
item.emerald_amulet_u.1677	It needs a string so I can wear it.	Pinned RuneLite OSRS cache	build 239; item ID 1677
item.emerald_bolt_tips.9190	Emerald bolt tips.	Old School RuneScape Wiki	Emerald bolt tips; revision 15185109; canonical ID 9190
item.emerald_bolts.9338	Emerald tipped Mithril crossbow bolts.	Old School RuneScape Wiki	Emerald bolts; revision 15182990; canonical ID 9338
item.emerald_bolts_e.9241	Enchanted Emerald tipped Mithril Crossbow Bolts.	Old School RuneScape Wiki	Emerald bolts (e); revision 15223909; canonical ID 9241
item.emerald_bracelet.11076	I wonder if this is valuable.	Old School RuneScape Wiki	Emerald bracelet; revision 15231177; canonical ID 11076
item.emerald_dragon_bolts.21965	Dragon crossbow bolts, tipped with emerald.	Old School RuneScape Wiki	Emerald dragon bolts; revision 15188617; canonical ID 21965
item.emerald_dragon_bolts_e.21942	Enchanted Dragon crossbow bolts, tipped with emerald.	Old School RuneScape Wiki	Emerald dragon bolts (e); revision 15274050; canonical ID 21942
item.emerald_lantern.9064	You need to add lamp oil before you can use it.	Old School RuneScape Wiki	Emerald lantern; revision 15185115; canonical ID 9064
item.emerald_sickle_b.22433	It's a blessed silver sickle with an emerald recessed into it.	Old School RuneScape Wiki	Emerald sickle (b); revision 15255384; canonical ID 22433
item.emissary_hood.29868	Headwear of the Twilight Emissaries.	Old School RuneScape Wiki	Emissary hood; revision 15192738; canonical ID 29868
item.emissary_robe_bottom.29872	Robes of the Twilight Emissaries.	Old School RuneScape Wiki	Emissary robe bottom; revision 15192739; canonical ID 29872
item.emissary_robe_top.29870	Robes of the Twilight Emissaries.	Old School RuneScape Wiki	Emissary robe top; revision 15192740; canonical ID 29870
item.emissary_sandals.29874	Footwear of the Twilight Emissaries.	Old School RuneScape Wiki	Emissary sandals; revision 15192741; canonical ID 29874
item.empty_candle_lantern.4527	Put a candle in to complete it.	Pinned RuneLite OSRS cache	build 239; item ID 4527
item.empty_cup.1980	An empty cup.	Pinned RuneLite OSRS cache	build 239; item ID 1980
item.empty_fishbowl.6667	An empty fishbowl.	Pinned RuneLite OSRS cache	build 239; item ID 6667
item.empty_oil_lamp.4525	An oil lamp with no oil in it.	Pinned RuneLite OSRS cache	build 239; item ID 4525
item.empty_oil_lantern.4535	Put oil in to complete it.	Pinned RuneLite OSRS cache	build 239; item ID 4535
item.empty_plant_pot.5350	An empty plant pot.	Pinned RuneLite OSRS cache	build 239; item ID 5350
item.empty_sack.5418	An empty vegetable sack.	Old School RuneScape Wiki	Empty sack; revision 15183845; canonical ID 5418
item.enchant_diamond.8019	A tablet containing a magic spell.	Pinned RuneLite OSRS cache	build 239; item ID 8019
item.enchant_dragonstone.8020	A tablet containing a magic spell.	Pinned RuneLite OSRS cache	build 239; item ID 8020
item.enchant_emerald_or_jade.8017	A tablet containing a magic spell.	Pinned RuneLite OSRS cache	build 239; item ID 8017
item.enchant_onyx.8021	A tablet containing a magic spell.	Pinned RuneLite OSRS cache	build 239; item ID 8021
item.enchant_ruby_or_topaz.8018	A tablet containing a magic spell.	Pinned RuneLite OSRS cache	build 239; item ID 8018
item.enchant_sapphire_or_opal.8016	A tablet containing a magic spell.	Pinned RuneLite OSRS cache	build 239; item ID 8016
item.enchanted_bar.4007	A gold bar invested with a talkative monkey spirit.	Old School RuneScape Wiki	Enchanted bar; revision 15185537; canonical ID 4007
item.enchanted_diamond_sickle_b.33711	It's a blessed and enchanted silver sickle with a diamond recessed into it.	Old School RuneScape Wiki	Enchanted diamond sickle (b); revision 15265602; canonical ID 33711
item.enchanted_emerald_sickle_b.22435	It's a blessed and enchanted silver sickle with an emerald recessed into it.	Old School RuneScape Wiki	Enchanted emerald sickle (b); revision 15254571; canonical ID 22435
item.enchanted_gem.4155	I can contact the Slayer Masters with this.	Old School RuneScape Wiki	Enchanted gem; revision 15183736; canonical ID 4155
item.enchanted_hat.7400	A three pointed hat of magic.	Old School RuneScape Wiki	Enchanted hat; revision 15182994; canonical ID 7400
item.enchanted_lyre.3690	A musical instrument that I can magically play.	Old School RuneScape Wiki	Enchanted lyre; revision 15273448; canonical ID 3690
